Unique user count;Component set;Product;Version
29;Component1+Component5+Component11+Component15+Component19+Component21+Component25+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
29;Component1+Component11+Component15+Component21+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
27;Component1+Component5+Component9+Component11+Component14+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
26;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
26;Component1+Component5+Component11+Component19+Component21+Component28+Component29+Component30+Component31;2049294527;21.2.16.590
26;Component1+Component21+Component29+Component30+Component31;2049294527;11.4.0.233
26;Component1+Component9+Component11+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
25;Component1+Component9+Component11+Component12+Component14+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
25;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
25;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component24+Component29+Component30+Component31;-1753079652;11.4.0.233
25;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
24;Component30+Component31;-1753079652;11.4.0.233
24;Component1+Component9+Component11+Component12+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
24;Component1+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
23;Component1+Component5+Component9+Component11+Component15+Component19+Component21+Component23+Component29+Component30+Component31;-1753079652;11.4.0.233
23;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
23;Component1+Component5+Component11+Component19+Component21+Component29+Component30+Component31;2049294527;11.3.0.773
23;Component1+Component9+Component21+Component24+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
23;Component1+Component5+Component9+Component11+Component12+Component13+Component14+Component15+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
23;Component1+Component11+Component15+Component21+Component29+Component30+Component31;2049294527;21.2.16.590
23;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
22;Component1+Component5+Component11+Component16+Component19+Component21+Component28+Component29+Component30+Component31;2049294527;11.3.0.773
21;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
21;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
21;Component1+Component5+Component11+Component19+Component21+Component28+Component29+Component30+Component31;2049294527;11.3.0.773
20;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
20;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component18+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
20;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
20;Component1+Component9+Component11+Component12+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
20;Component1+Component5+Component11+Component19+Component21+Component29+Component30+Component31;2049294527;21.2.16.590
20;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
19;Component1+Component5+Component11+Component15+Component19+Component21+Component29+Component30+Component31;2049294527;11.3.0.773
19;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
19;Component1+Component9+Component11+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
19;Component1+Component11+Component21+Component29+Component30+Component31;2049294527;21.2.16.590
19;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
18;Component30+Component31;2049294527;11.4.0.233
18;Component1+Component5+Component9+Component11+Component12+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
17;Component1+Component5+Component11+Component16+Component21+Component29+Component30+Component31;2049294527;11.3.0.773
17;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
17;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
17;Component1+Component9+Component11+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
17;Component1+Component5+Component9+Component11+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
17;Component1+Component11+Component21+Component28+Component29+Component30+Component31;2049294527;21.2.16.590
17;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component22+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
17;Component1+Component9+Component11+Component14+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
17;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
17;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
17;Component1+Component5+Component9+Component11+Component12+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
17;Component1+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
